content,is_english
nice experience,True
Very helpful for students away from home.,True
They have come a long way and it is a positive update.,True
they don't support delivery to Aftabnagar K block,True
never thought I'd have to do this from five stars to two stars because the app is very unpredictable now in a moment it's normal and the next few days it doesn't show any restaurants near me except a few even after installing and uninstalling multiple times fix this issue,True
account create issue,True
Worse as hell!,True
"holy....it is bad. ordered a few times. most of the time food came late. ordered today, delivery man came 1.30hrs late and with order of someone else. now he went back to get my order again. foodis unprofessional management makes these delivery man suffer more. foodi management is bad. uninstalling today. get fixed.",True
"3rd class app totally. order was placed at 1 pm, supposed to be delivered at 1.30, 2.30 pm still rider didnt pick up the order. tried to contact with the customer service multiple times, no solution. they dont have any proper maintenance. worst service. never ever going to ordee from this app again.",True
"trashy app, there was voucher on card payment. but payment wasn't processing. after I informed the chat support they just said there's no problem from their side. not even sorry for wasting my time. Then said I should just reinstall app, I did and still not working. My card is fully functional and made transactions moments after it on foodpanda. At least when I complain on foodpanda they compensate with vouchers. previously also complained about order issue, they don't compensate",True
"Stuck at the resturants page, cant order anything. this is a Major bug and makes the app unsuable and useless.",True
Bad app. Can't navigate restaurant easily.,True
App is not working. I can enter the restaurant page but add anything in the cart. Plz fix.,True
ok,True
good,True
The worst app its freeze the screen .,True
"Whenever I enter into any restaurant, the screen is stuck. no scroll or sliding happens.",True
Worst app. Can't even add an item to the cart. This should be the bare minimum working feature. Ironically the primary feature is non-functional. Absolute disappointment!,True
the worst app I have ever used. didnt deliver my food and no refund either. deleting this app was the best decision I ever made.,True
Worst experience and its 2 times. bye bye to Foodi forever,True
excellent service,True
Super fast delivery,True
"For some days I am not able to place order in this app. Profile screen works, even I can enter the menu of a restaurant but after that either the app freezes or the menu doesn't work at all.",True
There was a bad smell in one of the orders. The food had already started to rot. I complained right away and even sent pictures when they asked. Today they called me and said they spoke with the restaurant...according to the restaurant the food was fine. That’s why they can’t give me a refund. Instead they said they’ll give me a “sorry voucher” for the bad experience. why would any restaurant ever admit that their food was spoiled? What kind of customer service is this?,True
good,True
very good service good experience 😀,True
the app is not even working on my phone. I can't see the food menu. I cannot even order it too. please fix it.,True
