content,is_english
ATTENTION-!!! Kfc was far more better when i tried it in abroad but it was my first time trying it from bangladesh mirpur-14 branch and trust me i had the worst experience of having it. It feels like it wasn’t value for money. Be aware of it everyone specially those who order from home. It was like a street side subway like 80tk but kfc served me the exact same thing in like 650tk I am not happy with it and i am not Ordering from KFC anymore.,True
It takes hell lot of time when you order through app,True
It's Good. ❤️,True
Worst app. Previous version was ok. This time address can not be fixed. Can not give any order. Totally useless. Also why I need to put address if I select takeaway. For takeaway only KFC outlet need to be fixed. That's it. Useless app.,True
Good,True
Good,True
"only ac account create option, no login option available",True
V good,True
Ok,True
Sign up is critical for my Samsung Galaxy s22 ultra,True
Good that they finally got an app to order. They must add more manpower to keep it smooth.,True
Fake promotion,True
Boycott,True
They will send a sms by saying that will get 2 pieces of free because you installed the app but there is no such option in this app. This is a whole scam,True
Good,True
Good,True
"Such a bad app ,Had to confirm order after 1 hour after online confirmation, totally stupid service",True
Fried chicken Friday,True
Good,True
I have ordered KFC today through food panda. But from my order the fries were missing and I informed help desk of food panda. No good reply came from them.,True
No delivery available,True
Nice,True
This is very good,True
But Bro I Think The is not bad coz the performance of this in my mobile is ultra coz it is loading fast and fast sign in 😃,True
"It was shown that the order was accepted, but after half an hour they called and confirmed the order again over the phone. 30 minutes later The app showed shipped, but the food wasn't delivered for next 30-40mins, I couldn't even track the food delivery guy as the app doesn't show the map/ ocation.",True
App is very buggy. And unable to select location. Please fix,True
"This app sucks! Can't even sign up, loading all day!",True
"Not working at all. S23 Ultra, Android 14, one UI 6.0",True
"This app doesn't work half the time. Then, I was told by one of the branch managers that due to heavy volume, it completely shuts off. What good is it when it you need it most, and it fails to process your order. Not worth it",True
Nice,True
Good food,True
Everytime delivery person ( foodpanda delivery) demand extra money to delivery my food. I informed that but no action taken. And most of the time they wrote my address wrong,True
"Delivery service is mediocre, not great. And the company is worse for supporting a freking genocide",True
This is very bas app. it always lack on my mobile.my mobile is iphone 14 pro max and when ever I set the location location is not working,True
Boycott,True
Delivery charge wayyyy too high for the amount of time I have to waste waiting,True
Bug,True
Good,True
Orderd and they confirmed it but never recieved the order,True
I don't trust these people. The deliverymen will scam you for money.,True
Very Very Bad!!!,True
horrible! their fried chicken is the worst fried chicken i have ever eaten in my entire life,True
Wonderful,True
Very 👎 bad 👎 😑 😕 😒,True
Very very bad hit and crispy chicken. I am so dissatisfied with this food at wari . Kfc is so bad especially wari branch.,True
One of the worst app.they confirmed my order through app and took forever to deliver .even they shipped 1hr it showed .,True
Great food taste,True
Very very tasty,True
nice,True
"One of the worst service. They dknt even care about their customer. They confimed order by app, again order was confirmed by their shop over phone and took address. Then the app showed order was shipped but was never delivered. Tried to call them but they didn't even receive call. Last three time they did that.",True
Cool,True
I'm not gating otp why 😠😠😠,True
"I ordered delivery for a meal for many today at 3.55pm. It was delivered nearly 2 hrs later. I paid, received the parcel and came up. When I opened the bag, the 2 pepsis were missing. I tried to call the delivery guy, he didn’t pick up. Disgustful service.",True
Good,True
"Very poor behaviour with customers. They kept me waiting for 1 and half hours & then cancelled my order. In the App, I found no way to contact with them.",True
Don't give delivery in savar,True
Log in problem,True
good,True
Nice,True
Nice,True
"Some of the staffs in KFC BD CTG branch are extra bad. If you ask, you don't want to answer. I wanted to take up their Ges mill offer and they looked at me as if I had committed a crime. [Their staff behavior is very bad] But I will say their food is good.[ may 2023 Some stafs, the need to learn how to behaviour with your customers ]",True
Order was declined after 2 hrs. Their number doesn't work. Customer service is non existent. Absolutely disappointing.,True
Have a nice weekend,True
Its fake or real,True
Update Location option. It's make confused not stay one location,True
"If we cant even order delkvery, then why the option is still there to begin with. Such a stupid and worthless app.",True
Dinner is so bad,True
Nice,True
